danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.7509999999999999,0.638,-11.119000000000002,0.53,0.0355,1.22e-06,0.121,0.222,139.888
0.606,0.316,-12.638,0.0716,0.693,0.6679999999999999,0.108,0.0579999999999999,125.893
0.79,0.3279999999999999,-16.222,0.473,0.0489,1.07e-05,0.0728,0.228,149.96
0.763,0.507,-11.026,0.0443,0.151,0.000691,0.16,0.32,219.984
0.5579999999999999,0.733,-3.928,0.031,0.0269,0.0,0.124,0.113,220.112
0.529,0.42,-10.487,0.0645,0.931,0.000814,0.121,0.265,115.576
0.742,0.297,-12.588,0.0464,0.698,0.892,0.1119999999999999,0.191,132.006
0.677,0.253,-12.225,0.0527,0.757,0.0,0.163,0.118,137.99
0.695,0.622,-6.6610000000000005,0.0497,0.6459999999999999,0.0,0.0906,0.131,132.03
0.7929999999999999,0.441,-10.297,0.579,0.867,0.0,0.111,0.753,149.49200000000002
0.6759999999999999,0.136,-16.49,0.049,0.87,0.114,0.0962,0.3329999999999999,207.89
0.484,0.932,-4.31,0.355,0.3779999999999999,2.12e-06,0.0728,0.483,219.028
0.706,0.482,-12.054,0.0428,0.69,0.0786,0.0958,0.316,121.968
0.6509999999999999,0.5760000000000001,-8.536,0.0293,0.6890000000000001,0.00847,0.109,0.36,125.028
0.524,0.408,-13.989,0.0778,0.825,0.0002189999999999,0.1,0.23,192.175
0.698,0.728,-8.132,0.599,0.0223,0.0,0.0769,0.3329999999999999,164.891
0.7709999999999999,0.579,-8.318,0.226,0.638,0.0,0.141,0.196,115.051
0.626,0.616,-8.204,0.293,0.627,0.0,0.1939999999999999,0.297,162.029
0.698,0.2289999999999999,-16.307000000000002,0.0779,0.916,2.09e-06,0.0951,0.136,115.993
0.674,0.556,-10.109,0.149,0.636,0.0,0.122,0.625,119.969
0.472,0.557,-12.449000000000002,0.336,0.83,0.0,0.238,0.5760000000000001,189.944
0.6509999999999999,0.268,-18.461,0.215,0.284,0.0,0.201,0.416,156.10299999999998
0.715,0.6890000000000001,-6.035,0.1689999999999999,0.747,0.0,0.1119999999999999,0.365,122.012
0.544,0.446,-9.957,0.0861,0.626,5.7100000000000006e-05,0.136,0.0891,164.93
0.7040000000000001,0.412,-9.118,0.0403,0.616,0.0222,0.108,0.0385,120.088
0.703,0.68,-6.608,0.0277,0.682,0.409,0.12,0.108,137.946
0.706,0.4479999999999999,-12.622,0.266,0.649,0.0,0.0565,0.185,173.952
0.32,0.6729999999999999,-9.467,0.045,0.000207,2.45e-06,0.913,0.387,175.484
0.665,0.387,-15.4,0.0327,0.106,0.0452,0.108,0.0754,130.015
0.619,0.948,-3.1860000000000004,0.409,0.0249,0.0001,0.855,0.143,130.005
0.659,0.626,-9.539,0.415,0.168,0.0213,0.887,0.311,130.606
0.6679999999999999,0.4579999999999999,-8.725,0.0303,0.659,0.000105,0.248,0.347,149.974
0.638,0.391,-14.969,0.1,0.7659999999999999,0.295,0.15,0.487,160.016
0.642,0.457,-14.07,0.108,0.701,0.000403,0.124,0.2689999999999999,186.036
0.675,0.92,-6.142,0.41,0.00596,0.0184,0.8079999999999999,0.1119999999999999,154.939
0.708,0.263,-16.257,0.0608,0.509,0.5579999999999999,0.1369999999999999,0.0397,120.049
0.436,0.17,-9.549,0.347,0.833,0.00116,0.118,0.188,200.226
0.557,0.598,-10.254,0.0602,0.621,1.05e-06,0.316,0.304,159.998
0.767,0.341,-11.741,0.0651,0.627,0.0,0.111,0.497,186.332
0.703,0.3379999999999999,-13.572,0.092,0.662,0.0,0.126,0.593,199.97
0.877,0.7559999999999999,-9.023,0.039,0.737,0.918,0.147,0.65,130.06799999999998
0.7609999999999999,0.7829999999999999,-5.1,0.237,0.136,1.31e-05,0.7909999999999999,0.691,168.938
0.8440000000000001,0.52,-10.626,0.5329999999999999,0.00221,0.00122,0.7,0.289,149.995
0.7440000000000001,0.1369999999999999,-23.385,0.0519,0.52,0.106,0.0995,0.0377,216.098
